127.0.0.1 - - [25/Feb/2019:16:10:53 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [25/Feb/2019:16:11:07 +0530] "GET /CyberSecuritySecond/ HTTP/1.1" 200 4759
0:0:0:0:0:0:0:1 - - [25/Feb/2019:16:11:12 +0530] "GET /CyberSecuritySecond/js/jquery-1.6.3.min.js HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [25/Feb/2019:16:11:12 +0530] "GET /CyberSecuritySecond/css/nivo-slider.css HTTP/1.1" 200 2175
0:0:0:0:0:0:0:1 - - [25/Feb/2019:16:11:12 +0530] "GET /CyberSecuritySecond/css/ddsmoothmenu.css HTTP/1.1" 200 1940
0:0:0:0:0:0:0:1 - - [25/Feb/2019:16:11:12 +0530] "GET /CyberSecuritySecond/tooplate_style.css HTTP/1.1" 200 9911
0:0:0:0:0:0:0:1 - - [25/Feb/2019:16:11:12 +0530] "GET /CyberSecuritySecond/css/slimbox2.css HTTP/1.1" 200 1361
0:0:0:0:0:0:0:1 - - [25/Feb/2019:16:11:12 +0530] "GET /CyberSecuritySecond/images/slider/02-intruder_detection.jpg HTTP/1.1" 200 42766
0:0:0:0:0:0:0:1 - - [25/Feb/2019:16:11:12 +0530] "GET /CyberSecuritySecond/js/jquery.nivo.slider.pack.js HTTP/1.1" 200 15919
0:0:0:0:0:0:0:1 - - [25/Feb/2019:16:11:12 +0530] "GET /CyberSecuritySecond/js/ddsmoothmenu.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2019:16:11:12 +0530] "GET /CyberSecuritySecond/js/slimbox2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2019:16:11:12 +0530] "GET /CyberSecuritySecond/js/jquery-1.6.3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2019:16:11:12 +0530] "GET /CyberSecuritySecond/js/scroll-startstop.events.jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2019:16:11:12 +0530] "GET /CyberSecuritySecond/js/jquery-1.6.3.min.js HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [25/Feb/2019:16:11:13 +0530] "GET /CyberSecuritySecond/images/tooplate_menu.png HTTP/1.1" 200 1046
0:0:0:0:0:0:0:1 - - [25/Feb/2019:16:11:13 +0530] "GET /CyberSecuritySecond/images/tooplate_body.png HTTP/1.1" 200 1380
0:0:0:0:0:0:0:1 - - [25/Feb/2019:16:11:13 +0530] "GET /CyberSecuritySecond/images/tooplate_wb.png HTTP/1.1" 200 1314
0:0:0:0:0:0:0:1 - - [25/Feb/2019:16:11:13 +0530] "GET /CyberSecuritySecond/images/tooplate_wm.png HTTP/1.1" 200 1044
0:0:0:0:0:0:0:1 - - [25/Feb/2019:16:11:13 +0530] "GET /CyberSecuritySecond/images/tooplate_wrapper.png HTTP/1.1" 200 28100
0:0:0:0:0:0:0:1 - - [25/Feb/2019:16:11:13 +0530] "GET /CyberSecuritySecond/images/tooplate_wt.png HTTP/1.1" 200 1264
0:0:0:0:0:0:0:1 - - [25/Feb/2019:16:11:13 +0530] "GET /CyberSecuritySecond/images/tooplate_slider_frame.png HTTP/1.1" 200 10172
0:0:0:0:0:0:0:1 - - [25/Feb/2019:16:11:13 +0530] "GET /CyberSecuritySecond/images/tooplate_menu_hover.png HTTP/1.1" 200 988
0:0:0:0:0:0:0:1 - - [25/Feb/2019:16:11:13 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [25/Feb/2019:16:11:13 +0530] "GET /CyberSecuritySecond/images/tooplate_hr.png HTTP/1.1" 200 967
0:0:0:0:0:0:0:1 - - [25/Feb/2019:16:11:35 +0530] "GET /CyberSecuritySecond/login.jsp HTTP/1.1" 200 4768
0:0:0:0:0:0:0:1 - - [25/Feb/2019:16:11:35 +0530] "GET /CyberSecuritySecond/tooplate_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2019:16:11:35 +0530] "GET /CyberSecuritySecond/css/ddsmoothmenu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2019:16:11:35 +0530] "GET /CyberSecuritySecond/css/nivo-slider.css HTTP/1.1" 304 -
